                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     47,                 0.5855,                0.79035,                 0.9637,                  0.605,                0.72232,                0.69351,                0.49582,                0.79328,                 1.4186,                 1.0817,             0.00095545,             0.00095545,             0.00095545
                     48,                  0.654,                0.81879,                0.93776,                0.75904,                 0.6554,                0.68563,                0.48985,                0.79088,                   1.49,                 1.0629,             0.00095446,             0.00095446,             0.00095446
                     49,                0.63038,                0.80295,                0.93762,                0.75904,                 0.6554,                0.68563,                0.48985,                0.79088,                   1.49,                 1.0629,             0.00095347,             0.00095347,             0.00095347
                     50,                0.62443,                0.85513,                0.97555,                0.65923,                0.67709,                0.66714,                0.47031,                0.80537,                 1.4773,                 1.0557,             0.00095248,             0.00095248,             0.00095248
                     51,                0.63494,                0.97586,                0.97012,                0.53743,                0.68102,                0.66591,                0.46301,                0.89472,                 1.5422,                 1.0796,             0.00095149,             0.00095149,             0.00095149
                     52,                 0.6387,                0.80746,                0.94938,                0.76542,                0.63146,                0.66048,                0.48146,                0.84755,                 1.5707,                 1.0763,              0.0009505,              0.0009505,              0.0009505
                     53,                 0.5768,                0.75758,                0.94695,                0.76542,                0.63146,                0.66048,                0.48146,                0.84755,                 1.5707,                 1.0763,             0.00094951,             0.00094951,             0.00094951
                     54,                0.62574,                0.85658,                0.96205,                0.77674,                0.63642,                0.71822,                0.52893,                   0.89,                 1.6232,                 1.1445,             0.00094852,             0.00094852,             0.00094852
                     55,                0.62369,                 0.8484,                0.93769,                0.75346,                0.59882,                0.69722,                0.51291,                0.89763,                 1.7174,                 1.1636,             0.00094753,             0.00094753,             0.00094753
                     56,                0.63104,                0.85589,                0.97226,                0.83851,                0.59276,                0.69102,                0.50028,                0.91999,                 1.5864,                 1.1626,             0.00094654,             0.00094654,             0.00094654
                     57,                0.63428,                0.84542,                 0.9354,                0.83851,                0.59276,                0.69102,                0.50028,                0.91999,                 1.5864,                 1.1626,             0.00094555,             0.00094555,             0.00094555
                     58,                0.65585,                0.90513,                0.96221,                0.64309,                0.69729,                0.66335,                0.48388,                   0.91,                 1.4534,                 1.1487,             0.00094456,             0.00094456,             0.00094456
                     59,                0.67888,                0.88389,                0.99974,                0.59912,                0.62641,                0.64853,                0.46653,                0.87607,                 1.3886,                 1.1283,             0.00094357,             0.00094357,             0.00094357
                     60,                0.62853,                0.86247,                0.94115,                0.61188,                0.76175,                0.70879,                0.52549,                0.81113,                 1.3032,                 1.1169,             0.00094258,             0.00094258,             0.00094258
                     61,                0.58795,                0.73612,                 0.9504,                0.61188,                0.76175,                0.70879,                0.52549,                0.81113,                 1.3032,                 1.1169,             0.00094159,             0.00094159,             0.00094159
                     62,                0.59903,                0.79249,                0.94475,                0.63397,                0.76472,                0.75823,                0.54612,                0.73989,                 1.2779,                 1.0847,              0.0009406,              0.0009406,              0.0009406
                     63,                0.60268,                0.78352,                0.95099,                0.68312,                 0.8121,                0.79997,                0.57025,                0.73315,                 1.2429,                  1.094,             0.00093961,             0.00093961,             0.00093961
                     64,                0.62771,                0.85235,                0.95253,                0.66948,                0.76984,                0.75914,                0.54872,                0.75195,                 1.3419,                 1.1304,             0.00093862,             0.00093862,             0.00093862
                     65,                0.71575,                 1.0192,                 1.0803,                0.66948,                0.76984,                0.75914,                0.54872,                0.75195,                 1.3419,                 1.1304,             0.00093763,             0.00093763,             0.00093763
                     66,                0.65738,                0.82541,                 1.0109,                0.61639,                0.81375,                0.71542,                0.50061,                0.81512,                 1.2889,                 1.1802,             0.00093664,             0.00093664,             0.00093664
                     67,                0.65079,                 0.8619,                0.96822,                0.60072,                0.75308,                0.67803,                0.49299,                0.83499,                 1.3559,                 1.1772,             0.00093565,             0.00093565,             0.00093565
                     68,                0.55895,                0.73879,                0.91513,                0.60617,                 0.7008,                0.66748,                 0.4899,                0.83378,                 1.4401,                 1.1687,             0.00093466,             0.00093466,             0.00093466
                     69,                0.57465,                0.78795,                0.93615,                0.60617,                 0.7008,                0.66748,                 0.4899,                0.83378,                 1.4401,                 1.1687,             0.00093367,             0.00093367,             0.00093367
                     70,                0.66688,                0.83709,                 1.0275,                0.56132,                0.82357,                0.69455,                0.50828,                0.76055,                 1.4904,                 1.0667,             0.00093268,             0.00093268,             0.00093268
                     71,                0.63269,                0.74887,                0.93207,                0.58383,                0.84991,                0.77014,                0.56201,                0.73806,                   1.46,                 1.0453,             0.00093169,             0.00093169,             0.00093169
                     72,                0.66838,                0.79979,                 0.9412,                0.68129,                0.83477,                0.78626,                0.56815,                0.74581,                 1.4099,                 1.0632,              0.0009307,              0.0009307,              0.0009307
                     73,                0.60132,                0.73373,                0.92957,                0.68129,                0.83477,                0.78626,                0.56815,                0.74581,                 1.4099,                 1.0632,             0.00092971,             0.00092971,             0.00092971
                     74,                0.61317,                0.75355,                 0.9494,                0.64969,                0.87135,                0.75586,                0.55111,                0.73807,                 1.2834,                 1.0659,             0.00092872,             0.00092872,             0.00092872
                     75,                0.58971,                0.72699,                0.93297,                 0.6324,                0.85189,                0.77011,                0.57187,                0.68243,                 1.1326,                 1.0265,             0.00092773,             0.00092773,             0.00092773
                     76,                0.60029,                0.77647,                0.94503,                0.67466,                0.83315,                0.82063,                0.63672,                0.62822,                 1.0616,                 1.0206,             0.00092674,             0.00092674,             0.00092674
                     77,                0.58731,                0.72385,                 0.9589,                0.67466,                0.83315,                0.82063,                0.63672,                0.62822,                 1.0616,                 1.0206,             0.00092575,             0.00092575,             0.00092575
                     78,                0.58647,                0.68613,                0.93612,                0.79495,                0.74375,                0.83445,                0.64846,                 0.6404,                 1.0548,                 1.0074,             0.00092476,             0.00092476,             0.00092476
                     79,                0.59013,                0.68105,                 0.9435,                0.83491,                0.76935,                0.84288,                0.65692,                0.64113,                 1.0562,                0.98026,             0.00092377,             0.00092377,             0.00092377
                     80,                0.62486,                 0.7728,                0.92078,                0.82377,                0.76835,                0.83119,                0.64189,                0.63741,                  1.033,                 0.9607,             0.00092278,             0.00092278,             0.00092278
                     81,                0.54573,                0.67253,                0.93273,                0.82377,                0.76835,                0.83119,                0.64189,                0.63741,                  1.033,                 0.9607,             0.00092179,             0.00092179,             0.00092179
                     82,                0.59051,                 0.7263,                0.91542,                0.78999,                0.78883,                 0.8103,                0.61379,                0.71604,                 1.0837,                  1.016,              0.0009208,              0.0009208,              0.0009208
                     83,                0.61854,                0.76669,                0.97612,                 0.7513,                0.80035,                0.77698,                0.59375,                0.73569,                 1.1372,                  1.037,             0.00091981,             0.00091981,             0.00091981
                     84,                0.69662,                0.79111,                 0.9733,                0.71896,                0.79519,                0.73099,                0.56499,                0.68501,                 1.1062,                 1.0195,             0.00091882,             0.00091882,             0.00091882
                     85,                0.56994,                0.66725,                0.93167,                0.71896,                0.79519,                0.73099,                0.56499,                0.68501,                 1.1062,                 1.0195,             0.00091783,             0.00091783,             0.00091783
                     86,                0.63841,                0.72991,                0.94212,                0.73372,                0.80546,                0.75057,                0.59111,                0.65936,                 1.0762,                 1.0069,             0.00091684,             0.00091684,             0.00091684
                     87,                0.58239,                0.76378,                0.92966,                0.73205,                0.73092,                0.77826,                0.61782,                0.64537,                 1.0239,                0.97311,             0.00091585,             0.00091585,             0.00091585
                     88,                0.60487,                0.77119,                0.99397,                0.71289,                0.76191,                0.80891,                0.63603,                0.62285,                 1.0258,                0.95534,             0.00091486,             0.00091486,             0.00091486
                     89,                0.60436,                0.72171,                0.93873,                0.71289,                0.76191,                0.80891,                0.63603,                0.62285,                 1.0258,                0.95534,             0.00091387,             0.00091387,             0.00091387
                     90,                0.60751,                 0.7452,                0.97816,                0.69913,                 0.8415,                0.82795,                0.63984,                0.60654,                 1.0527,                0.94773,             0.00091288,             0.00091288,             0.00091288
                     91,                0.56146,                0.71144,                0.93816,                0.74304,                0.85016,                0.82065,                 0.6425,                0.63357,                  1.057,                0.96495,             0.00091189,             0.00091189,             0.00091189
                     92,                0.56878,                0.69299,                0.93118,                0.67493,                 0.8412,                0.80905,                0.63028,                0.64722,                 1.1118,                0.98092,              0.0009109,              0.0009109,              0.0009109
                     93,                 0.5695,                0.67151,                0.95127,                0.67493,                 0.8412,                0.80905,                0.63028,                0.64722,                 1.1118,                0.98092,             0.00090991,             0.00090991,             0.00090991
                     94,                0.56907,                0.69867,                0.91714,                0.67079,                0.79756,                  0.809,                0.62044,                0.69508,                 1.2162,                  1.019,             0.00090892,             0.00090892,             0.00090892
                     95,                0.55999,                0.65567,                0.92819,                0.66331,                0.77965,                0.77754,                0.59317,                0.78209,                 1.2009,                 1.1291,             0.00090793,             0.00090793,             0.00090793
                     96,                0.55147,                0.64983,                0.90832,                0.70796,                0.79986,                0.79117,                0.62123,                0.75948,                  1.144,                 1.1341,             0.00090694,             0.00090694,             0.00090694
                     97,                0.64215,                0.77398,                0.99988,                0.70796,                0.79986,                0.79117,                0.62123,                0.75948,                  1.144,                 1.1341,             0.00090595,             0.00090595,             0.00090595
                     98,                0.55531,                0.63336,                0.91324,                0.68982,                0.78935,                 0.8144,                0.61906,                0.76532,                 1.1932,                 1.1497,             0.00090496,             0.00090496,             0.00090496
                     99,                0.53404,                0.64623,                0.92373,                0.71007,                0.79423,                0.79813,                0.57023,                0.81065,                 1.2185,                 1.2051,             0.00090397,             0.00090397,             0.00090397
                    100,                0.53589,                0.69039,                0.93671,                0.78604,                 0.7696,                0.79468,                 0.5783,                0.78548,                  1.166,                 1.1969,             0.00090298,             0.00090298,             0.00090298
                    101,                0.57603,                0.65131,                0.91911,                0.78604,                 0.7696,                0.79468,                 0.5783,                0.78548,                  1.166,                 1.1969,             0.00090199,             0.00090199,             0.00090199
                    102,                0.54736,                0.63222,                0.92414,                0.70716,                0.86394,                0.80707,                0.58178,                 0.8119,                 1.1346,                 1.2038,               0.000901,               0.000901,               0.000901
                    103,                0.57461,                0.63922,                0.92776,                0.80924,                0.84551,                0.81843,                0.58322,                0.74789,                 1.1492,                 1.1302,             0.00090001,             0.00090001,             0.00090001
                    104,                0.54126,                0.65279,                0.92632,                0.72968,                 0.8538,                0.81731,                0.61297,                 0.7156,                 1.1233,                 1.0905,             0.00089902,             0.00089902,             0.00089902
                    105,                0.54854,                0.60566,                0.90052,                0.72968,                 0.8538,                0.81731,                0.61297,                 0.7156,                 1.1233,                 1.0905,             0.00089803,             0.00089803,             0.00089803
                    106,                0.57572,                 0.6729,                0.91065,                0.71217,                0.84702,                 0.8247,                0.61972,                0.66844,                  1.102,                 1.0251,             0.00089704,             0.00089704,             0.00089704
                    107,                0.56031,                0.63891,                0.92219,                0.68407,                0.81726,                0.79716,                0.63157,                0.61495,                 1.0576,                0.99746,             0.00089605,             0.00089605,             0.00089605
                    108,                0.54804,                0.61453,                0.93039,                0.69305,                 0.7936,                0.80737,                0.58925,                0.62388,                 1.0623,                 1.0184,             0.00089506,             0.00089506,             0.00089506
                    109,                0.52016,                0.59033,                0.92319,                0.69305,                 0.7936,                0.80737,                0.58925,                0.62388,                 1.0623,                 1.0184,             0.00089407,             0.00089407,             0.00089407
                    110,                0.50509,                0.56202,                 0.9069,                0.64227,                0.83203,                0.78972,                0.55633,                0.69657,                 1.1109,                 1.1015,             0.00089308,             0.00089308,             0.00089308
                    111,                0.55573,                0.68771,                 0.9593,                0.65322,                0.82682,                0.79781,                0.55524,                0.75045,                 1.1378,                 1.1045,             0.00089209,             0.00089209,             0.00089209
                    112,                0.54583,                0.63202,                0.93005,                 0.6641,                0.82423,                0.80907,                0.56429,                0.76233,                  1.153,                 1.0834,              0.0008911,              0.0008911,              0.0008911
                    113,                0.52937,                0.63061,                0.90695,                 0.6641,                0.82423,                0.80907,                0.56429,                0.76233,                  1.153,                 1.0834,             0.00089011,             0.00089011,             0.00089011
                    114,                0.54729,                0.66399,                0.94421,                0.69297,                0.83435,                0.78979,                0.56951,                0.78025,                 1.0988,                 1.0907,             0.00088912,             0.00088912,             0.00088912
                    115,                 0.5499,                  0.612,                0.92055,                 0.6883,                0.84372,                0.78583,                0.58149,                0.72025,                 1.1139,                 1.0391,             0.00088813,             0.00088813,             0.00088813
